person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,ID
31,37200,3,4.0,5,1,9000,7.51,0,0.24,1,6,23482
23,83000,3,0.0,2,5,14000,17.51,1,0.17,2,4,14094
23,50000,3,1.0,4,1,4000,5.42,0,0.08,1,2,3966
24,43200,2,4.0,1,1,6350,7.49,0,0.15,1,4,5052
33,70000,3,6.0,3,4,12000,15.65,0,0.17,2,5,25312
44,67000,2,28.0,4,2,3000,,0,0.04,1,14,30686
23,30996,1,2.0,1,2,5000,11.86,0,0.16,1,2,2219
22,30000,3,2.0,5,2,6000,12.42,0,0.2,1,4,16237
23,22000,3,3.0,2,3,9600,13.16,1,0.44,1,2,10132
22,32000,3,7.0,2,3,14000,12.23,1,0.44,1,3,2004
30,265000,2,3.0,4,4,24000,14.96,0,0.09,2,7,28282
22,60000,3,2.0,5,3,8000,13.49,0,0.13,1,3,9064
29,59000,3,3.0,5,2,6000,10.37,0,0.1,1,7,21648
28,42000,3,0.0,2,2,12000,11.11,0,0.29,1,9,28028
28,39000,3,0.0,3,1,6000,8.63,0,0.15,1,7,21501
27,42000,1,4.0,2,3,10000,14.65,0,0.24,1,7,20491
23,52000,3,1.0,3,3,25000,13.22,1,0.48,1,2,143
21,21600,3,6.0,2,3,7000,13.98,1,0.32,2,3,6775
25,38400,2,9.0,1,2,12000,10.38,0,0.31,1,3,3813
36,52000,2,11.0,3,2,1500,11.36,1,0.03,1,17,30390
22,47000,3,2.0,4,1,6000,5.42,0,0.13,1,3,6546
23,42000,3,2.0,3,2,6500,10.37,0,0.15,1,3,7332
26,19200,1,7.0,3,1,4500,7.88,1,0.23,1,3,15610
25,105000,2,3.0,1,3,12000,12.84,0,0.11,2,2,14388
25,106870,1,9.0,2,3,6000,15.27,0,0.06,2,4,14440
24,65000,3,5.0,4,1,12000,8.9,0,0.18,1,3,17250
23,51000,3,1.0,4,1,7000,6.99,0,0.14,1,3,7940
25,95004,2,9.0,2,1,18000,7.51,0,0.19,1,4,13729
30,32000,3,3.0,4,3,8400,13.98,1,0.26,1,9,23335
37,38400,2,4.0,1,1,7000,7.9,0,0.18,1,13,29633
26,85000,2,10.0,4,2,11000,11.99,0,0.13,1,4,12781
28,64500,2,1.0,1,3,4000,13.79,1,0.06,2,8,24146
35,64500,2,7.0,4,3,4500,12.53,0,0.07,1,9,23457
47,100000,2,4.0,2,2,2500,9.99,0,0.03,1,15,31349
24,75000,3,8.0,3,2,10000,9.91,0,0.13,1,3,11668
29,33600,3,2.0,1,4,3000,15.99,1,0.09,1,8,19279
28,56000,2,5.0,4,3,5050,12.29,1,0.09,2,8,28447
30,65000,2,1.0,3,4,25000,15.65,0,0.38,2,5,23633
29,71000,2,4.0,5,1,4000,7.14,0,0.06,1,9,24175
24,73399,3,0.0,2,4,27000,,1,0.37,1,2,17070
23,42500,3,3.0,2,3,12000,13.35,0,0.28,1,3,12424
33,24000,3,6.0,5,1,10000,8.9,1,0.42,1,5,23772
22,35325,3,2.0,2,4,6500,15.95,1,0.18,1,3,17566
29,89000,3,2.0,3,1,7200,,0,0.08,1,10,22438
25,62000,2,9.0,1,2,8500,10.99,0,0.14,1,2,9416
24,30000,2,,5,1,3075,,0,0.1,1,4,1999
32,72000,2,0.0,5,1,24000,6.92,0,0.33,1,8,24253
25,50000,3,5.0,1,2,4800,10.99,0,0.1,1,4,4482
29,37100,2,9.0,3,5,3000,16.82,0,0.08,1,7,28911
48,30000,2,21.0,4,2,2100,12.42,0,0.07,1,14,29347
22,70000,2,3.0,5,2,10000,10.36,0,0.14,1,2,10840
26,67000,2,1.0,1,1,29000,7.51,0,0.43,1,2,10343
28,82000,2,8.0,2,1,18000,7.66,0,0.22,1,9,25132
25,70000,2,6.0,1,1,14000,5.42,0,0.2,1,3,10751
31,50000,3,5.0,4,5,2500,17.04,0,0.05,2,10,19182
22,88200,2,1.0,1,4,19000,14.61,0,0.22,2,3,13122
24,19200,3,0.0,5,1,5600,8.9,1,0.29,1,2,5918
25,95000,2,0.0,5,2,15000,11.49,0,0.16,1,3,13652
26,42000,3,3.0,5,1,4500,7.66,0,0.11,1,2,16242
26,36000,2,10.0,1,1,9000,5.42,0,0.25,1,4,3270
23,51840,3,1.0,5,4,12000,15.95,1,0.23,2,3,2793
28,84800,3,4.0,1,2,9000,,0,0.11,1,7,28764
29,40560,3,4.0,2,2,2700,10.0,0,0.07,1,8,25716
23,93000,1,7.0,1,2,10000,9.88,0,0.11,1,3,13538
33,44000,2,5.0,3,2,5500,,0,0.13,1,9,20768
23,96060,2,7.0,4,1,10000,5.42,0,0.1,1,2,13841
28,60000,3,3.0,2,2,2000,,0,0.03,1,6,18912
31,12996,3,4.0,4,1,1750,6.76,0,0.13,1,10,18778
26,113000,2,10.0,3,1,12000,7.29,1,0.11,1,2,15190
38,71000,3,14.0,4,2,15000,8.88,0,0.21,1,15,31600
51,80000,3,3.0,4,6,18000,18.78,0,0.23,2,20,32391
37,146000,2,5.0,5,3,10000,13.99,0,0.07,2,16,31641
23,72000,3,5.0,5,4,3000,16.89,1,0.04,2,4,16524
32,38000,3,3.0,5,1,6350,5.79,0,0.17,1,8,28528
28,82300,3,3.0,1,1,3600,9.63,0,0.04,1,6,28403
26,20004,3,2.0,2,1,2000,8.59,1,0.1,1,3,1780
22,16800,2,0.0,4,3,4750,13.85,1,0.28,2,2,396
24,40000,2,3.0,2,2,6400,9.91,0,0.16,1,4,4087
21,30000,3,2.0,2,2,1200,9.62,0,0.04,1,3,1462
23,66480,1,6.0,2,1,4000,8.32,0,0.06,1,2,10309
28,35000,3,4.0,5,1,2400,7.29,1,0.07,1,9,19034
22,100000,3,3.0,2,2,10000,10.65,0,0.1,1,3,4572
43,80000,2,3.0,3,1,10000,,0,0.13,1,16,31025
36,45000,3,4.0,4,2,20000,11.36,1,0.44,1,14,29144
27,290000,2,0.0,4,2,7875,9.99,0,0.03,1,6,27725
22,40000,3,0.0,2,1,10000,8.0,0,0.25,1,4,10789
24,30000,3,8.0,4,2,3000,11.86,0,0.1,1,4,2552
31,60000,3,11.0,2,2,15000,11.71,0,0.25,1,7,28316
35,24996,3,2.0,5,2,6200,,0,0.25,1,5,21851
23,18600,3,2.0,5,2,1700,9.99,0,0.09,1,3,1673
30,85000,3,2.0,4,3,12000,,0,0.14,1,6,25461
25,77000,2,6.0,2,4,8000,15.33,0,0.1,1,2,11886
28,60000,2,4.0,4,2,4800,,0,0.08,1,9,22976
27,115752,2,6.0,5,2,10000,11.36,0,0.09,1,7,26753
34,100000,2,7.0,2,1,12000,7.49,0,0.12,1,6,26175
23,38000,3,7.0,3,2,12000,11.71,1,0.32,1,4,16889
25,30000,3,1.0,4,2,7000,10.62,0,0.23,1,3,7710
31,39000,2,0.0,4,4,12000,13.3,1,0.31,1,7,21039
30,111000,2,2.0,4,7,12500,19.04,1,0.11,1,8,26993
33,72000,2,6.0,1,1,4250,5.42,0,0.06,1,5,28061
26,42000,2,11.0,2,4,15075,12.92,0,0.36,1,2,4875
26,78000,2,8.0,3,3,12000,13.43,0,0.15,1,4,11968
35,105000,2,18.0,3,2,3000,10.37,0,0.03,1,7,26404
31,50000,2,8.0,5,3,6000,13.49,0,0.12,2,9,21520
24,25000,3,0.0,5,1,4400,6.76,0,0.18,1,3,4137
25,95111,2,9.0,3,3,18000,14.72,0,0.19,1,4,13733
31,34000,3,2.0,4,2,2400,12.21,0,0.07,1,5,19020
21,27600,3,4.0,2,1,7500,6.76,0,0.27,1,4,8207
26,38832,3,0.0,5,2,10000,10.37,0,0.26,1,2,10706
32,59004,3,0.0,4,4,8000,16.49,1,0.14,2,8,23191
31,20500,2,4.0,4,1,1000,6.76,0,0.05,1,6,18245
25,43200,3,3.0,3,3,3000,13.8,0,0.07,2,3,2625
34,65000,3,2.0,5,1,12000,7.49,0,0.18,1,7,25288
35,91000,1,6.0,1,2,5600,10.99,0,0.06,1,8,25735
29,92052,2,6.0,4,1,6500,,0,0.07,1,9,25803
25,45000,1,0.0,2,3,6500,10.28,0,0.14,2,2,5597
22,42000,3,6.0,3,3,10000,,0,0.24,2,4,10811
22,58617,3,6.0,4,4,5400,15.21,1,0.09,1,2,5775
22,39000,3,6.0,4,3,6000,13.22,1,0.15,2,2,6519
27,84000,3,1.0,4,3,20000,13.49,0,0.24,1,8,18300
38,49853,2,19.0,2,4,12000,13.3,0,0.24,2,11,30056
25,67000,3,9.0,4,3,10000,13.92,0,0.15,1,3,11561
27,42000,3,2.0,2,1,3000,8.94,0,0.07,1,5,25369
27,53000,2,3.0,2,3,6400,13.11,0,0.12,2,8,22071
22,46800,2,4.0,4,1,3600,7.14,0,0.08,1,3,5803
32,31000,3,2.0,4,4,7400,16.77,1,0.24,2,9,22464
21,28000,3,1.0,4,3,9700,11.34,1,0.35,1,2,10312
24,100000,2,8.0,4,1,10750,6.99,0,0.11,1,4,14037
24,37000,3,8.0,2,4,10500,,0,0.28,1,4,16075
27,66300,3,1.0,4,4,9600,,1,0.12,1,7,23730
29,45000,1,13.0,1,2,15000,11.49,0,0.33,1,8,20899
23,36000,1,1.0,1,1,1800,6.54,0,0.05,1,4,3302
41,60000,3,7.0,4,1,23800,6.91,1,0.4,1,15,29113
30,139008,2,2.0,1,3,15000,13.47,0,0.11,1,9,27877
27,36996,2,4.0,5,2,8800,11.48,0,0.24,1,6,19802
29,48000,2,6.0,5,3,15000,13.98,0,0.31,1,10,21357
27,231252,2,1.0,3,2,2000,9.91,0,0.01,1,10,27826
27,45000,3,4.0,3,2,6500,10.99,0,0.14,1,8,22011
32,52800,2,2.0,4,1,24000,7.51,0,0.45,1,10,22033
