person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,ID
37200.0,3,4.0,5,1,9000,0,0.24,1,6,23482
83000.0,3,0.0,2,5,14000,1,0.17,2,4,14094
50000.0,3,1.0,4,1,4000,0,0.08,1,2,3966
43200.0,2,4.0,1,1,6350,0,0.15,1,4,5052
70000.0,3,6.0,3,4,12000,0,0.17,2,5,25312
67000.0,2,28.0,4,2,3000,0,0.04,1,14,30686
30996.0,1,2.0,1,2,5000,0,0.16,1,2,2219
30000.0,3,2.0,5,2,6000,0,0.2,1,4,16237
22000.0,3,3.0,2,3,9600,1,0.44,1,2,10132
32000.0,3,7.0,2,3,14000,1,0.44,1,3,2004
225000.0,2,3.0,4,4,24000,0,0.09,2,7,28282
60000.0,3,2.0,5,3,8000,0,0.13,1,3,9064
59000.0,3,3.0,5,2,6000,0,0.1,1,7,21648
42000.0,3,0.0,2,2,12000,0,0.29,1,9,28028
39000.0,3,0.0,3,1,6000,0,0.15,1,7,21501
42000.0,1,4.0,2,3,10000,0,0.24,1,7,20491
52000.0,3,1.0,3,3,25000,1,0.48,1,2,143
21600.0,3,6.0,2,3,7000,1,0.32,2,3,6775
38400.0,2,9.0,1,2,12000,0,0.31,1,3,3813
52000.0,2,11.0,3,2,1500,1,0.03,1,17,30390
47000.0,3,2.0,4,1,6000,0,0.13,1,3,6546
42000.0,3,2.0,3,2,6500,0,0.15,1,3,7332
19200.0,1,7.0,3,1,4500,1,0.23,1,3,15610
105000.0,2,3.0,1,3,12000,0,0.11,2,2,14388
106870.0,1,9.0,2,3,6000,0,0.06,2,4,14440
65000.0,3,5.0,4,1,12000,0,0.18,1,3,17250
51000.0,3,1.0,4,1,7000,0,0.14,1,3,7940
95004.0,2,9.0,2,1,18000,0,0.19,1,4,13729
32000.0,3,3.0,4,3,8400,1,0.26,1,9,23335
38400.0,2,4.0,1,1,7000,0,0.18,1,13,29633
85000.0,2,10.0,4,2,11000,0,0.13,1,4,12781
64500.0,2,1.0,1,3,4000,1,0.06,2,8,24146
64500.0,2,7.0,4,3,4500,0,0.07,1,9,23457
100000.0,2,4.0,2,2,2500,0,0.03,1,15,31349
75000.0,3,8.0,3,2,10000,0,0.13,1,3,11668
33600.0,3,2.0,1,4,3000,1,0.09,1,8,19279
56000.0,2,5.0,4,3,5050,1,0.09,2,8,28447
65000.0,2,1.0,3,4,25000,0,0.38,2,5,23633
71000.0,2,4.0,5,1,4000,0,0.06,1,9,24175
73399.0,3,0.0,2,4,27000,1,0.37,1,2,17070
42500.0,3,3.0,2,3,12000,0,0.28,1,3,12424
24000.0,3,6.0,5,1,10000,1,0.42,1,5,23772
35325.0,3,2.0,2,4,6500,1,0.18,1,3,17566
89000.0,3,2.0,3,1,7200,0,0.08,1,10,22438
62000.0,2,9.0,1,2,8500,0,0.14,1,2,9416
30000.0,2,5.05688943263496,5,1,3075,0,0.1,1,4,1999
72000.0,2,0.0,5,1,24000,0,0.33,1,8,24253
50000.0,3,5.0,1,2,4800,0,0.1,1,4,4482
37100.0,2,9.0,3,5,3000,0,0.08,1,7,28911
30000.0,2,21.0,4,2,2100,0,0.07,1,14,29347
70000.0,2,3.0,5,2,10000,0,0.14,1,2,10840
67000.0,2,1.0,1,1,29000,0,0.43,1,2,10343
82000.0,2,8.0,2,1,18000,0,0.22,1,9,25132
70000.0,2,6.0,1,1,14000,0,0.2,1,3,10751
50000.0,3,5.0,4,5,2500,0,0.05,2,10,19182
88200.0,2,1.0,1,4,19000,0,0.22,2,3,13122
19200.0,3,0.0,5,1,5600,1,0.29,1,2,5918
95000.0,2,0.0,5,2,15000,0,0.16,1,3,13652
42000.0,3,3.0,5,1,4500,0,0.11,1,2,16242
36000.0,2,10.0,1,1,9000,0,0.25,1,4,3270
51840.0,3,1.0,5,4,12000,1,0.23,2,3,2793
84800.0,3,4.0,1,2,9000,0,0.11,1,7,28764
40560.0,3,4.0,2,2,2700,0,0.07,1,8,25716
93000.0,1,7.0,1,2,10000,0,0.11,1,3,13538
44000.0,2,5.0,3,2,5500,0,0.13,1,9,20768
96060.0,2,7.0,4,1,10000,0,0.1,1,2,13841
60000.0,3,3.0,2,2,2000,0,0.03,1,6,18912
12996.0,3,4.0,4,1,1750,0,0.13,1,10,18778
113000.0,2,10.0,3,1,12000,1,0.11,1,2,15190
71000.0,3,14.0,4,2,15000,0,0.21,1,15,31600
80000.0,3,3.0,4,6,18000,0,0.23,2,20,32391
146000.0,2,5.0,5,3,10000,0,0.07,2,16,31641
72000.0,3,5.0,5,4,3000,1,0.04,2,4,16524
38000.0,3,3.0,5,1,6350,0,0.17,1,8,28528
82300.0,3,3.0,1,1,3600,0,0.04,1,6,28403
20004.0,3,2.0,2,1,2000,1,0.1,1,3,1780
16800.0,2,0.0,4,3,4750,1,0.28,2,2,396
40000.0,2,3.0,2,2,6400,0,0.16,1,4,4087
30000.0,3,2.0,2,2,1200,0,0.04,1,3,1462
66480.0,1,6.0,2,1,4000,0,0.06,1,2,10309
35000.0,3,4.0,5,1,2400,1,0.07,1,9,19034
